month,impressions,visits,visit_duration_avg_seconds
2021-04,26514,8937,147.94
2021-03,25116,8505,153.71
2021-02,20832,7212,152.06
2021-01,31221,11199,162.95
2020-12,19119,6324,154.92
2020-11,27519,8049,181.18
2020-10,49146,17580,125.16
2020-09,36780,8178,166.74
2020-08,42690,8106,194.48
2020-07,29586,7644,192.44
2020-06,24075,8427,189.97
2020-05,28398,10269,186.71
2020-04,28827,10932,163.06
2020-03,26862,10758,156.33
2020-02,26214,8349,208.11
2020-01,30783,10782,197.18
2019-12,19608,6474,189.2
2019-11,30432,8769,223.87
2019-10,22755,7386,198.7
2019-09,21885,7008,185.39
2019-08,24696,7725,218.04
2019-07,23946,8169,192.74
2019-06,21939,7938,183.26
2019-05,41349,17007,158.13
2019-04,25563,8115,177.17
2019-03,23199,8151,167.28
2019-02,19572,6231,192.4
