page,2019-02 pi,2019-02 v,2019-03 pi,2019-03 v,2019-04 pi,2019-04 v,2019-05 pi,2019-05 v,2019-06 pi,2019-06 v,2019-07 pi,2019-07 v,2019-08 pi,2019-08 v,2019-09 pi,2019-09 v,2019-10 pi,2019-10 v,2019-11 pi,2019-11 v,2019-12 pi,2019-12 v,2020-01 pi,2020-01 v,2020-02 pi,2020-02 v,2020-03 pi,2020-03 v,2020-04 pi,2020-04 v,2020-05 pi,2020-05 v,2020-06 pi,2020-06 v,2020-07 pi,2020-07 v,2020-08 pi,2020-08 v,2020-09 pi,2020-09 v,2020-10 pi,2020-10 v,2020-11 pi,2020-11 v,2020-12 pi,2020-12 v,2021-01 pi,2021-01 v,2021-02 pi,2021-02 v,2021-03 pi,2021-03 v,2021-04 pi,2021-04 v,2021-05 pi,2021-05 v,2021-06 pi,2021-06 v,2021-07 pi,2021-07 v,2021-08 pi,2021-08 v,2021-09 pi,2021-09 v,2021-10 pi,2021-10 v,2021-11 pi,2021-11 v,2021-12 pi,2021-12 v,2022-01 pi,2022-01 v,2022-02 pi,2022-02 v,2022-03 pi,2022-03 v,2022-04 pi,2022-04 v,2022-05 pi,2022-05 v,2022-06 pi,2022-06 v,2022-07 pi,2022-07 v,2022-08 pi,2022-08 v,2022-09 pi,2022-09 v,2022-10 pi,2022-10 v,2022-11 pi,2022-11 v,2022-12 pi,2022-12 v,2023-01 pi,2023-01 v,2023-02 pi,2023-02 v,2023-03 pi,2023-03 v,2023-04 pi,2023-04 v,2023-05 pi,2023-05 v,2023-06 pi,2023-06 v,2023-07 pi,2023-07 v,2023-08 pi,2023-08 v,2023-09 pi,2023-09 v,2023-10 pi,2023-10 v,2023-11 pi,2023-11 v,2023-12 pi,2023-12 v,2024-01 pi,2024-01 v,2024-02 pi,2024-02 v,2024-03 pi,2024-03 v,2024-04 pi,2024-04 v,2024-05 pi,2024-05 v,2024-06 pi,2024-06 v,2024-07 pi,2024-07 v,2024-08 pi,2024-08 v,2024-09 pi,2024-09 v,2024-10 pi,2024-10 v,2024-11 pi,2024-11 v,2024-12 pi,2024-12 v,2025-01 pi,2025-01 v,2025-02 pi,2025-02 v
geometrien-der-wahlbezirke-fur-die-wahl-des-europaischen-parlaments-in-berlin-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,25,11,6,41,17,41,20,77,42,325,197,35,26,55,30,19,17,40,19,77,39,55,29,99,42,395,314
verlauf-der-berliner-mauer-1989-wms-bc24fb23,7,2,6,4,1,1,3,3,1,1,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,7,7,15,15,23,21,15,15,22,19,12,10,7,7,11,10,10,9,3,3,19,19,7,7,9,8,7,7,12,12,20,20,18,17,12,12,9,9,10,7,13,10,16,16,20,17,7,7,15,14,21,19,23,20,11,11,12,11,19,14,51,41,104,43,31,26,30,22,39,25,81,60,94,64,68,42,216,161,147,137,248,211,414,338,726,582,241,202,204,144
fahrraddiebstahl-in-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844,1295,211,176,103,81,78,70,126,96,85,76,77,65,108,86,125,94,109,86,92,76,79,61,43,37,39,36,37,33,29,22,55,40,36,30,51,40,51,40,85,65,85,74,61,53,132,65,195,98,102,67,177,67,93,55,86,35,110,43,84,36,123,54,211,89,117,55,104,59,195,119,180,113,208,103,108,35,100,39,124,68,294,136
geometrien-der-wahllokale-fur-die-wahl-zum-21-deutschen-bundestag-in-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,74,267,136
einsatze-der-berliner-feuerwehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,83,286,172,174,117
alkis-berlin-flurstucke-wfs-1bc014d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,19,28,14,99,47,90,59,115,54,131,67,152,93,164,112
baustellen-sperrungen-und-sonstige-storungen-von-besonderem-verkehrlichem-interesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,24,24,32,22,18,16,26,20,12,12,9,9,19,14,13,11,18,15,18,16,6,6,6,6,10,8,5,4,7,6,2,2,11,9,14,11,6,6,15,14,23,19,4,4,13,7,27,20,91,43,26,10,20,10,58,20,23,10,88,23,98,49,42,19,41,17,128,55,71,38,97,42,162,54,50,19,199,102,266,105
vbb-fahrplandaten-via-gtfs,154,129,161,133,140,121,184,151,116,99,120,98,172,136,366,239,335,294,685,562,656,570,668,588,635,554,880,776,644,586,206,184,136,114,156,99,2,2,111,58,107,87,84,63,113,89,87,72,82,73,79,68,59,54,79,69,52,41,52,47,53,45,63,52,65,61,65,51,29,19,19,8,65,55,56,45,57,48,63,55,57,46,32,27,43,34,35,31,41,39,84,70,51,43,65,57,50,40,67,57,45,39,56,54,76,67,81,65,75,53,67,41,65,52,129,64,101,57,214,80,63,33,109,48,122,61,126,54,112,44,217,90,154,81,181,95,191,95,267,134,152,70,183,88,188,101
geometrien-der-wahlbezirke-fur-die-wahl-zum-21-deutschen-bundestag-in-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,80,187,93
baumbestand-berlin-wms-52e6ddaa,3,3,,,1,1,2,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,1,2,2,1,1,9,7,5,4,13,11,14,11,37,33,26,23,44,36,42,38,61,55,72,62,54,47,69,59,64,55,80,73,93,84,55,46,92,73,77,64,116,93,238,199,167,148,121,104,174,143,157,116,287,151,129,106,209,109,90,53,156,81,119,58,228,116,363,177,278,157,234,115,158,91,49,29,27,18,47,22,13,6,44,22,78,41,162,93
