page,2013-04 pi,2013-04 pv,2013-05 pi,2013-05 pv,2013-06 pi,2013-06 pv,2013-07 pi,2013-07 pv,2013-08 pi,2013-08 pv,2013-09 pi,2013-09 pv,2013-10 pi,2013-10 pv,2013-11 pi,2013-11 pv,2013-12 pi,2013-12 pv,2014-01 pi,2014-01 pv,2014-02 pi,2014-02 pv,2014-03 pi,2014-03 pv,2014-04 pi,2014-04 pv,2014-05 pi,2014-05 pv,2014-06 pi,2014-06 pv,2014-07 pi,2014-07 pv,2014-08 pi,2014-08 pv,2014-09 pi,2014-09 pv,2014-10 pi,2014-10 pv,2014-11 pi,2014-11 pv,2014-12 pi,2014-12 pv,2015-01 pi,2015-01 pv,2015-02 pi,2015-02 pv,2015-03 pi,2015-03 pv,2015-04 pi,2015-04 pv,2015-05 pi,2015-05 pv,2015-06 pi,2015-06 pv,2015-07 pi,2015-07 pv,2015-08 pi,2015-08 pv,2015-09 pi,2015-09 pv,2015-10 pi,2015-10 pv,2015-11 pi,2015-11 pv,2015-12 pi,2015-12 pv,2016-01 pi,2016-01 pv,2016-02 pi,2016-02 pv,2016-03 pi,2016-03 pv,2016-04 pi,2016-04 pv,2016-05 pi,2016-05 pv,2016-06 pi,2016-06 pv,2016-07 pi,2016-07 pv,2016-08 pi,2016-08 pv,2016-09 pi,2016-09 pv,2016-10 pi,2016-10 pv,2016-11 pi,2016-11 pv,2016-12 pi,2016-12 pv,2017-01 pi,2017-01 pv,2017-02 pi,2017-02 pv,2017-03 pi,2017-03 pv,2017-04 pi,2017-04 pv,2017-05 pi,2017-05 pv,2017-06 pi,2017-06 pv,2017-07 pi,2017-07 pv,2017-08 pi,2017-08 pv,2017-09 pi,2017-09 pv,2017-10 pi,2017-10 pv,2017-11 pi,2017-11 pv,2017-12 pi,2017-12 pv,2018-01 pi,2018-01 pv,2018-02 pi,2018-02 pv,2018-03 pi,2018-03 pv,2018-04 pi,2018-04 pv,2018-05 pi,2018-05 pv,2018-06 pi,2018-06 pv,2018-07 pi,2018-07 pv,2018-08 pi,2018-08 pv,2018-09 pi,2018-09 pv,2018-10 pi,2018-10 pv,2018-11 pi,2018-11 pv,2018-12 pi,2018-12 pv,2019-01 pi,2019-01 pv,2019-02 pi,2019-02 pv,2019-03 pi,2019-03 pv,2019-04 pi,2019-04 pv,2019-05 pi,2019-05 pv,2019-06 pi,2019-06 pv,2019-07 pi,2019-07 pv,2019-08 pi,2019-08 pv,2019-09 pi,2019-09 pv,2019-10 pi,2019-10 pv
vbb-fahrplandaten-gtfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,64,191,146,210,170,252,210,232,197,192,162,217,179,168,138,152,131,195,161,135,113,126,103,186,147,310,270,328,312
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,45,39,138,120,211,185,298,258,376,332,421,366,370,318,260,235,258,223,147,132,402,334,491,422,531,473,452,421,439,392,355,322,655,572,366,315,331,267,277,235
alkis-berlin-flurst%C3%BCcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,14,13,36,32,62,50,91,75,118,97,133,113,138,122,158,144,166,149,161,146,120,110,244,218,388,341,490,434,577,512,691,615,629,571,777,675,478,404,476,379,275,212
liste-der-h%C3%A4ufigen-vornamen-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,3,3,,,1,1,,,,,265,189,1136,852,292,230,313,238,5592,4024,402,301,384,284,270,198,242,184,241,179
vbb-fahrplandaten-api-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,59,64,58,78,71,69,59,56,49,102,86,109,93,136,116,107,86,105,86,149,131,136,115,141,122,158,142,223,198
openstreetmap-daten-f%C3%BCr-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,123,110,178,143,279,215,119,98,125,102,185,143,146,121,102,80,153,125,84,73,80,70,86,72,92,77,107,95,113,94,58,49,81,72,121,103,144,120,90,78,127,101,129,106,114,93,261,217,147,124,129,111,148,132,164,131,122,106,143,116,129,106,176,153,294,254,216,189,249,217,209,177,191,159,132,110,130,108,112,97,105,89,257,220,180,155,99,84,193,166,126,114,198,165,186,148,202,175,178,161,307,255,235,207,225,186,217,182,204,172,116,107,224,192,199,162,213,184,221,195,184,162,125,110,167,143,194,169,197,172,206,188
lod2-geb%C3%A4udedaten-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,95,216,175,162,141,87,77,87,80,197,158,107,96,52,45,78,68,61,57,56,47,34,24,41,36,28,28,23,19,25,25,26,24,31,23,22,18,20,19,48,37,35,31,44,38,46,43,47,41,40,35,32,30,43,35,35,30,157,113,177,158,67,60,89,81,47,42,82,72,61,51,61,55,41,36,82,67,32,30,56,46,116,105,66,61,66,58,100,91,99,85,101,84,113,98,130,113,150,139,133,119,113,97,168,143,168,144
einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-am-31122018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,184,139,183,148,171,152,154,121,156,129
alkis-berlin-gemarkung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,25,18,47,36,75,61,66,58,72,64,85,81,93,83,62,56,79,69,99,85,56,52,75,68,76,68,48,47,75,70,69,61,67,56,85,72,118,93,40,28,113,58
kriminalit%C3%A4tsatlas-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,87,89,83,55,48,57,50,49,46,65,60,41,36,54,45,46,40,58,52,73,66,85,82
